"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
135,135,"MWI","Malawi",15,"Mulanje",135,"SC Laston Njema","",NA,"","Sub-chief","Sub-chief","",""
136,135,"MWI","Malawi",15,"Mulanje",136,"TA Chikumbu","",NA,"","Traditional Authority","Traditional Authority","",""
137,135,"MWI","Malawi",15,"Mulanje",137,"TA Mabuka","",NA,"","Traditional Authority","Traditional Authority","",""
138,135,"MWI","Malawi",15,"Mulanje",138,"TA Nkanda","",NA,"","Traditional Authority","Traditional Authority","",""
139,135,"MWI","Malawi",15,"Mulanje",139,"TA Nthiramanja","",NA,"","Traditional Authority","Traditional Authority","",""
140,135,"MWI","Malawi",16,"Mwanza",140,"Majete Game Reserve - Mwanza","",NA,"","Reserve","Reserve","",""
141,135,"MWI","Malawi",16,"Mwanza",141,"Mwanza Boma","",NA,"","Boma","Headquarter","",""
142,135,"MWI","Malawi",16,"Mwanza",142,"TA Kanduku","",NA,"","Traditional Authority","Traditional Authority","",""
143,135,"MWI","Malawi",16,"Mwanza",143,"TA Nthache","",NA,"","Traditional Authority","Traditional Authority","",""
144,135,"MWI","Malawi",17,"Mzimba",144,"Mzimba Boma","",NA,"","Boma","Headquarter","",""
145,135,"MWI","Malawi",17,"Mzimba",145,"Mzuzu City","",NA,"","City","City","",""
146,135,"MWI","Malawi",17,"Mzimba",146,"SC Jaravikuba Munthali","",NA,"","Sub-chief","Sub-chief","",""
147,135,"MWI","Malawi",17,"Mzimba",147,"SC Kampingo Sibande","",NA,"","Sub-chief","Sub-chief","",""
148,135,"MWI","Malawi",17,"Mzimba",148,"SC Khosolo Gwaza Jere","",NA,"","Sub-chief","Sub-chief","",""
149,135,"MWI","Malawi",17,"Mzimba",149,"TA Chindi","",NA,"","Traditional Authority","Traditional Authority","",""
150,135,"MWI","Malawi",17,"Mzimba",150,"TA M'Mbelwa","",NA,"","Traditional Authority","Traditional Authority","",""
151,135,"MWI","Malawi",17,"Mzimba",151,"TA Mabulabo","",NA,"","Traditional Authority","Traditional Authority","",""
152,135,"MWI","Malawi",17,"Mzimba",152,"TA Mpherembe","",NA,"","Traditional Authority","Traditional Authority","",""
153,135,"MWI","Malawi",17,"Mzimba",153,"TA Mtwalo","",NA,"","Traditional Authority","Traditional Authority","",""
154,135,"MWI","Malawi",17,"Mzimba",154,"TA Mzikubola","",NA,"","Traditional Authority","Traditional Authority","",""
155,135,"MWI","Malawi",17,"Mzimba",155,"TA Mzukuzuku","",NA,"","Traditional Authority","Traditional Authority","",""
156,135,"MWI","Malawi",17,"Mzimba",156,"Vwaza Marsh Game Reserve - Mzimba","",NA,"","Reserve","Reserve","",""
157,135,"MWI","Malawi",18,"Neno",157,"Majete Game Reserve - Neno","",NA,"","Reserve","Reserve","",""
158,135,"MWI","Malawi",18,"Neno",158,"TA Dambe","",NA,"","Traditional Authority","Traditional Authority","",""
159,135,"MWI","Malawi",18,"Neno",159,"TA Mlauli","",NA,"","Traditional Authority","Traditional Authority","",""
160,135,"MWI","Malawi",18,"Neno",160,"TA Ngozi","",NA,"","Traditional Authority","Traditional Authority","",""
161,135,"MWI","Malawi",18,"Neno",161,"TA Symon","",NA,"","Traditional Authority","Traditional Authority","",""
162,135,"MWI","Malawi",19,"Nkhata Bay",162,"Lake Malawi","",NA,"","Water body","Water body","",""
163,135,"MWI","Malawi",19,"Nkhata Bay",163,"SC Fukamalaza","",NA,"","Sub-chief","Sub-chief","",""
164,135,"MWI","Malawi",19,"Nkhata Bay",164,"SC Malanda","",NA,"","Sub-chief","Sub-chief","",""
165,135,"MWI","Malawi",19,"Nkhata Bay",165,"SC Nyaluwanga","",NA,"","Sub-chief","Sub-chief","",""
166,135,"MWI","Malawi",19,"Nkhata Bay",166,"SC Zilakoma","",NA,"","Sub-chief","Sub-chief","",""
167,135,"MWI","Malawi",19,"Nkhata Bay",167,"TA Fukamapiri","",NA,"","Traditional Authority","Traditional Authority","",""
168,135,"MWI","Malawi",19,"Nkhata Bay",168,"TA Kabunduli","",NA,"","Traditional Authority","Traditional Authority","",""
169,135,"MWI","Malawi",19,"Nkhata Bay",169,"TA Malenga Mzoma","",NA,"","Traditional Authority","Traditional Authority","",""
170,135,"MWI","Malawi",19,"Nkhata Bay",170,"TA Musisya","",NA,"","Traditional Authority","Traditional Authority","",""
171,135,"MWI","Malawi",19,"Nkhata Bay",171,"TA Timbiri","",NA,"","Traditional Authority","Traditional Authority","",""
172,135,"MWI","Malawi",20,"Nkhotakota",172,"Lake Malawi","",NA,"","Water body","Water body","",""
173,135,"MWI","Malawi",20,"Nkhotakota",173,"Nkhotakota Boma","",NA,"","Boma","Headquarter","",""
174,135,"MWI","Malawi",20,"Nkhotakota",174,"Nkhotakota Game Reserve","",NA,"","Reserve","Reserve","",""
175,135,"MWI","Malawi",20,"Nkhotakota",175,"SC Kafuzila","",NA,"","Sub-chief","Sub-chief","",""
176,135,"MWI","Malawi",20,"Nkhotakota",176,"SC Mphonde","",NA,"","Sub-chief","Sub-chief","",""
177,135,"MWI","Malawi",20,"Nkhotakota",177,"SC Mwansambo","",NA,"","Sub-chief","Sub-chief","",""
178,135,"MWI","Malawi",20,"Nkhotakota",178,"TA Kanyenda","",NA,"","Traditional Authority","Traditional Authority","",""
179,135,"MWI","Malawi",20,"Nkhotakota",179,"TA Malenga Chanzi","",NA,"","Traditional Authority","Traditional Authority","",""
180,135,"MWI","Malawi",20,"Nkhotakota",180,"TA Mwadzama","",NA,"","Traditional Authority","Traditional Authority","",""
181,135,"MWI","Malawi",21,"Nsanje",181,"Mwabvi Game Reserve","",NA,"","Reserve","Reserve","",""
182,135,"MWI","Malawi",21,"Nsanje",182,"Nsanje Boma","",NA,"","Boma","Headquarter","",""
183,135,"MWI","Malawi",21,"Nsanje",183,"SC Makoka","",NA,"","Sub-chief","Sub-chief","",""
184,135,"MWI","Malawi",21,"Nsanje",184,"SC Mbenje","",NA,"","Sub-chief","Sub-chief","",""
185,135,"MWI","Malawi",21,"Nsanje",185,"TA Chimombo","",NA,"","Traditional Authority","Traditional Authority","",""
186,135,"MWI","Malawi",21,"Nsanje",186,"TA Malemia","",NA,"","Traditional Authority","Traditional Authority","",""
187,135,"MWI","Malawi",21,"Nsanje",187,"TA Mlolo","",NA,"","Traditional Authority","Traditional Authority","",""
188,135,"MWI","Malawi",21,"Nsanje",188,"TA Ndamera","",NA,"","Traditional Authority","Traditional Authority","",""
189,135,"MWI","Malawi",21,"Nsanje",189,"TA Ngabu","",NA,"","Traditional Authority","Traditional Authority","",""
190,135,"MWI","Malawi",21,"Nsanje",190,"TA Nyachikadza","",NA,"","Traditional Authority","Traditional Authority","",""
191,135,"MWI","Malawi",21,"Nsanje",191,"TA Tengani","",NA,"","Traditional Authority","Traditional Authority","",""
192,135,"MWI","Malawi",22,"Ntcheu",192,"Ntcheu Boma","",NA,"","Boma","Headquarter","",""
193,135,"MWI","Malawi",22,"Ntcheu",193,"SC Champiti","",NA,"","Sub-chief","Sub-chief","",""
194,135,"MWI","Malawi",22,"Ntcheu",194,"SC Goodson Ganya","",NA,"","Sub-chief","Sub-chief","",""
195,135,"MWI","Malawi",22,"Ntcheu",195,"SC Makwangwala","",NA,"","Sub-chief","Sub-chief","",""
196,135,"MWI","Malawi",22,"Ntcheu",196,"TA Chakhumbira","",NA,"","Traditional Authority","Traditional Authority","",""
197,135,"MWI","Malawi",22,"Ntcheu",197,"TA Kwataine","",NA,"","Traditional Authority","Traditional Authority","",""
198,135,"MWI","Malawi",22,"Ntcheu",198,"TA Masasa","",NA,"","Traditional Authority","Traditional Authority","",""
199,135,"MWI","Malawi",22,"Ntcheu",199,"TA Mpando","",NA,"","Traditional Authority","Traditional Authority","",""
200,135,"MWI","Malawi",22,"Ntcheu",200,"TA Njolomole","",NA,"","Traditional Authority","Traditional Authority","",""
201,135,"MWI","Malawi",22,"Ntcheu",201,"TA Phambala","",NA,"","Traditional Authority","Traditional Authority","",""
