"","clust_L12raincytot","clust_L12day1rain","clust_L12maxdays","clust_floodmax","clust_cells_own","clust_price","clust_thinn","clust_roof","clust_hhsize","clust_hh_age","clust_hh_gender","clust_asset","clust_dist_road","clust_dist_admarc","clust_percent_ag","clust_nutri_reten_constrained","clust_elevation","clust_logFCS","clust_RCSI","clust_HDDS","ipc_lag1","ipc_lag12"
"124",971.06549,44,23,0,1.3125,3.6109178,0.40000001,0.5,3.875,30.8125,1.1875,0.17286286,0.39500001,5.5962501,0.60000002,1,671.1875,4.1694241,2.125,6.5625,1,NA
"125",1092.3571,54,30,0,0.25,3.7164946,0.60000002,0.9375,2.9375,39.9375,1.0625,0.5482735,5.2556248,8.4456253,0.75,0,1002,3.8921223,7.125,5.5625,1,NA
"126",967.08307,54,30,0,0.6875,3.7164946,0.60000002,0.5625,4.75,42.25,1.375,-0.20254903,3.6893334,4.132,0.60000002,0,1073.4667,3.8542202,7.25,5.625,1,NA
"127",901.38184,44,30,0,0.25,3.60708,0.703125,0.4375,3.6875,41.1875,1.5,0.047725629,4.2049999,4.03125,0.5625,0,937.1875,3.8879838,4.5625,5.6875,1,NA
"128",1226.6766,52,14,0,0.0625,3.2835393,0.40000001,0.5,4,50.6875,1.25,0.42313805,0.41466665,29.414667,0,0,635.53333,3.6120152,3.8125,5.125,1,NA
"129",1004.0403,54,22,0,0.25,3.5614011,0.66250002,0.125,3.75,47.5625,1.4375,-0.077411845,14.643572,11.562143,0.60000002,0,563.35712,3.2304444,5.5,3.3125,1,NA
"130",934.4444,44,30,0,0.8125,3.5607619,0.40000001,0.6875,4.125,43.1875,1.5625,-0.077411875,0.68800002,2.7106667,0.60000002,0,689,3.8760862,0.875,5.875,1,NA
"131",954.93439,44,14,0,0.1875,3.5607619,0.40000001,0.1875,4.375,46.125,1.25,-0.57795912,7.4230771,10.139231,0.52500004,0,713,3.4643002,6.6875,3.6875,1,NA
"132",862.3103,63,15,0,0.0625,3.3894622,1,0.0625,4.5625,46.75,1.25,0.047727335,45.154999,6.7293749,0.1875,0,646,3.3043599,9.1875,3.25,1,NA
"133",881.17975,43,10,0,0.0625,3.4384346,0.72812498,0.125,4.8125,44.25,1.3125,-0.077410102,34.688126,8.2868748,0.45000002,0,695.5625,3.543061,3.8125,4.125,1,NA
