fnid,clust
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010210,10202514
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203013
MW2012C3010201,10203176
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010201,10220705
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010409,10401502
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010417,10408441
MW2012C3010508,10501709
MW2012C3010508,10501709
MW2012C3010508,10501709
MW2012C3010508,10501709
MW2012C3010508,10501709
MW2012C3010508,10501709
MW2012C3010508,10501709
MW2012C3010508,10501709
MW2012C3010508,10501709
MW2012C3010508,10501709
MW2012C3010508,10501709
MW2012C3010508,10501709
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010309,10735173
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10736377
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3010508,10746033
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020103,20101014
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020211,20203494
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020213,20206362
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020303,20302539
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20401737
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
MW2012C3020403,20404032
